Features,Program type,Statewide or region-specific?,Federal operating authority,Program start date,Waiver expiration date (if applicable),"If the program ended in 2018, indicate the end date",Populations enrolled: Low-income adults not covered under ACA Section VIII (excludes pregnant women and people with disabilities),Populations enrolled: Low-income adults covered under  ACA Section VIII (excludes pregnant women and people with disabilities),"Populations enrolled: Aged, Blind or Disabled Children or Adults",Populations enrolled: Non-Disabled Children (excludes children in foster care or receiving adoption assistance),Populations enrolled: Individuals receiving Limited Benefits (excludes partial duals),Populations enrolled: Full Duals,Populations enrolled: Partial Duals,Populations enrolled: Children with Special Health Care Needs,Populations enrolled: Native American/Alaskan Natives,Populations enrolled: Foster Care and Adoption Assistance Children,Populations enrolled: Enrollment choice period,Populations enrolled: Enrollment broker name (if applicable),Populations enrolled: Notes on enrollment choice period,Benefits covered: Inpatient hospital physical health,Benefits covered: Inpatient hospital behavioral health (MH and/or SUD),Benefits covered: Outpatient hospital physical health,Benefits covered: Outpatient hospital behavioral health (MH and/or SUD),Benefits covered: Partial hospitalization,Benefits covered: Physician,Benefits covered: Nurse practitioner,Benefits covered: Rural health clinics and FQHCs,Benefits covered: Clinic services,Benefits covered: Lab and x-ray,Benefits covered: Prescription drugs,Benefits covered: Prosthetic devices,Benefits covered: EPSDT,Benefits covered: Case management,Benefits covered: SSA Section 1945-authorized health home,Benefits covered: Health home care (services in home),Benefits covered: Family planning,Benefits covered: Dental services (medical/surgical),Benefits covered: Dental (preventative or corrective),Benefits covered: Personal care (state plan option),Benefits covered: HCBS waiver services,Benefits covered: Private duty nursing,Benefits covered: ICF-IDD,Benefits covered: Nursing facility services,Benefits covered: Hospice care,Benefits covered: Non-Emergency Medical Transportation,Benefits covered: Institution for Mental Disease inpatient treatment for people ages 21-64 defined by 42 CFR §438.6(e) as an 'in lieu of' benefit,"Benefits covered: Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement: HEDIS data required?,Quality assurance and improvement: CAHPS data required?,Quality assurance and improvement: Accreditation required?,Quality assurance and improvement: Accrediting organization,Quality assurance and improvement: EQRO contractor name (if applicable),Performance incentives: Payment bonuses/differentials to reward plans,Performance incentives: Preferential auto-enrollment to reward plans,Performance incentives: Public reports comparing plan performance on key metrics,Performance incentives: Withholds tied to performance metrics,Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes,Participating plans: Plans in Program,Notes: Program notes,state
Accountable Care Partnership Plans,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),03/01/2018 12:00:00 AM,06/30/2022 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Mandatory,Voluntary,Other,Maximus,14 days with 90 day plan selection period.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,,,X,X,X,X,"Acupuncture, audiology, breast pump, chiropractic, diabetes self-management training, dialysis, DME, early intervention, emergency services, fluoride varnish, hearing aids, infertility diagnosis, dentures, medical nutrition therapy, orthotics, podiatry, radiology and diagnostic tests, tobacco cessation, vision care, speech therapy, occupational therapy, physical therapy, SNF up to 100 days per contract year, chronic or rehab, and Home Health (nursing and therapies). LTSS are covered through FFS. (Note: this list is not fully inclusive).",Yes,Yes,Yes,NCQA,"Innovative Resource Group, LLC D/B/A KEPRO",,,X,,X,Atrius Health in partnership with Tufts Health Public Plans (THPP); Beth Israel Deaconess Care Organization (BIDCO) in partnership with Tufts Health Public Plans (THPP); Boston Children’s Health ACO in partnership with Tufts Health Public Plans (THPP); Cambridge Health Alliance (CHA) in partnership with Tufts Health Public Plans (THPP); Merrimack Valley ACO in partnership with AllWays Health Partners; Boston Accountable Care Organization in partnership with BMC HealthNet Plan; Mercy Medical Center in partnership with BMC HealthNet Plan; Signature Healthcare in partnership with BMC HealthNet Plan; Southcoast Health in partnership with BMC HealthNet Plan; Health Collaborative of the Berkshires in partnership with Fallon Health; Reliant Medical Group in partnership with Fallon Health; Wellforce in partnership with Fallon Health; Baystate Health Care Alliance in partnership with Health New England,,MA
MassHealth BH/SUD PIHP,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1115(a) (Medicaid demonstration waivers),07/01/1997 12:00:00 AM,06/30/2022 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Voluntary,Other,Maximus,Daily,,X,,X,X,X,X,,X,,X,,,X,,,,,,,,,,,,,X,"Children’s Behavioral Health Initiative (CBHI) services, Emergency Services Program, and Diversionary Services: Community Crisis Stabilization, Community-Based Acute Treatment for Children and Adolescents (CBAT), Acute Treatment Services (ATS) for Substance Use Disorders (Level III-7), Clinical Support Services (CSS) for Substance Use Disorders (Level III.5), and Transitional Care Unit (TCU), Community Support Program (CSP), Partial Hospitalization, Psychiatric Day Treatment, Structure Outpatient Addiction Program (SOAP), Program of Assertive Community Treatment, and Intensive Outpatient Treatment,  Transitional Support Services (TSSW) for Substance Use Disorders, Residential Rehabilitation Services for Substance Use Disorder and Enhanced Residential Rehabilitation Services for Dually Diagnosed.",Yes,No,Yes,NCQA,"Innovative Resource Group, DBA KEPRO",X,,X,,,Massachusetts Behavioral Health Partnership,Full duals are only enrolled mandatorily if less than 21 years of age. The 1915(b) waiver provides managed behavioral health benefits for participants enrolled in the MFP-CL and MFP-RS 1915(c) waivers. All other 1915(c) waiver HCBS are provided on a fee-for-service basis.,MA
Money Follows the Person- Behavioral Health Supports (MFP-BH),Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),04/01/2013 12:00:00 AM,03/31/2018 12:00:00 AM,03/31/2018 12:00:00 AM,Mandatory,Mandatory,Mandatory,,,Mandatory,Mandatory,,Mandatory,Exempt,,,,,X,,X,X,,,,X,,,,,X,,,,,,,,,,,,,,"Emergency Services Program and Diversionary Services, Community Crisis Stabilization, Acute Treatment Services (ATS) for Substance Use Disorders (Level III-7), Clinical Support Services (CSS) for Substance Use Disorders (Level III-5) and Transitional Care Unit (TCU), Community Support Program (CSP), Partial Hospitalization, Partial Psychiatric Day Treatment, Structure Outpatient Addiction Program (SOAP), Program of Assertive Community Treatment and Intensive Outpatient Treatment",No,No,No,,,,,,,,Money Follows the Person- Behavioral Health Supports (MFP-BH),"MassHealth members enrolled in the two 1915(c) MFP Waivers who are not otherwise eligible for the 1115 demonstration were mandatorily enrolled in this 1915(b) Waiver.  The 1915(c) waivers included both the MFP Community Living (MFP-CL, waiver control number MA.1027) and the MFP Residential Supports (MFP-RS, waiver control number MA.1028) Waivers. The MFP-BH Waiver (MFP-BH, waiver control number MA.0002) ran concurrently with these 1915(c) waivers.  MFP waiver participants must be age 18-64 with disabilities or age 65 or over and must be on MassHealth Standard.",MA
Senior Care Options,Comprehensive MCO + MLTSS,"Counties of Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester and Berkshire",1915(a)/1915(c),07/01/2004 12:00:00 AM,12/31/2018 12:00:00 AM,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,,Other,,"Medicaid members are eligible to enroll all year, with enrollment effective the first day of the month following the month in which the member decided to enroll. Dual eligible members are eligible to enroll in accordance with the Medicare Advantage enrollment period, with enrollment effective the first day of the month following the month in which the member decided to enroll.",X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,X,X,,X,X,X,,All MassHealth covered LTSS and all services described in the Commonwealth 1915(c) Frail Elder Waiver,Yes,Yes,No,,KEPRO,,,X,,,Boston Medical Center Healthnet Plan; Commonwealth Care Alliance; Navicare HMO; Senior Whole Health; Tufts Health Plan; United Healthcare,"The SCO Program is a voluntary program offered to MassHealth members age 65 and older residing in the service area of a Senior Care Oganization. The SCO program is available in 12 of the 14 counties in Massachusetts. The SCO program covers all medically necessary Medicaid and Medicare covered services through its provider network. Each enrollee selects a PCP upon enrollment, receives care coordination, and participates in and signs off on the development of his/her care plan. Each Senior Care Organization is also designated by CMS as a Medicare Advantage Special Needs Plan for individuals dually eligible for Medicare and Medicaid.",MA
MI Choice,MLTSS only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),10/01/2003 12:00:00 AM,09/30/2019 12:00:00 AM,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,Other,,Enrollments and disenrollments are allowed at any time. Enrollments are always voluntary for qualified individuals. Must meet NFLOC to qualify.,,,,X,,,,,,,,,,X,,,,,,,X,X,,,,X,,"Adult Day Health, chore, community living support, community transition, counseling, home modifications, fiscal intermediary, goods and services, home delivered meals, non-medical transportation, nursing services, PERS, private duty nursing, respite, specialized medical equipment and supplies, supports coordination and trainers",No,No,No,,,,,,,,"Northern Healthcare Management; Region 2 Area Agency on Aging; Region 3B Area Agency on Aging; Region 4 Area Agency on Aging; Region 7 Area Agency on Aging; Region 9 Area Agency on Aging; Reliance Community Care Partners; Senior Resources of West Michigan; Senior Services Inc.; The Information Center; The Senior Alliance; Tri County Office on Aging; UPCAP Area Agency on Aging; Valley Area Agency on Aging; A & D Home Health Care, Inc.; Area Agency on Aging 1-B; Area Agency on Aging of NW Michigan; Area Agency on Aging of Western Michigan; Detroit Area Agency on Aging; MORC Home Care Inc.","Cover HCBS only. Must be elderly or disabled adult (at least age 18), meet Nursing Facility Level of Care (NFLOC), and require supports coordination and at least one additional waiver service to qualify. Accreditation is not required, but some plans do this voluntarily.",MI
Managed Care Plan Division,Comprehensive MCO,Statewide,1915(b),07/01/1997 12:00:00 AM,12/31/2019 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,Mandatory,Voluntary,Voluntary,Voluntary,Voluntary,Mandatory,Other,Michigan Enrolls,"New enrollees have up to 90 days to switch Medicaid Health Plans, otherwise there is a rolling open enrollment based on the last digit of the individual's case number.",X,,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,,,,,,,,,"Ambulance and other emergency medical transportation, certified midwife services, chiropractic services, DME and supplies, emergency services, end stage renal disease services, health education, hearing and speech services, hearing aids (under 21 years old), medically necessary weight reduction services, parenting and birthing classes, podiatry services, prosthetics and orthotics, tobacco cessation treatment, speech, language, physical and occupational therapies, transplant services, transportation for medically necessary covered services, treatment for STDs, vision services",Yes,Yes,Yes,"NCQA, URAC",Health Services Advisory Group,X,X,X,,X,Aetna Better Health of Michigan; Blue Cross Complete of Michigan; Harbor Health Plan; HAP Midwest Health Plan; McLaren Health Plan; Meridian Health Plan of Michigan; Molina Healthcare of Michigan; Priority Health Choice; Total Health Care; UnitedHealthcare Community Plan; Upper Peninsula Health Plan,"In order to provide greater access and to support coordination of care for behavioral health services, the Michigan Department of Health and Human Services (MDHHS) has removed the 20-visit maximum limitation for outpatient behavioral health services (psychotherapy services). The restriction is lifted for both Fee-for-Service and Medicaid Health Plan beneficiaries effective for dates of service on or after October 1, 2017.",MI
Healthy Michigan Plan,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),04/01/2014 12:00:00 AM,12/31/2023 12:00:00 AM,,,Voluntary,,,,,,,Voluntary,Exempt,Other,Michigan Enrolls,"New enrollees have up to 90 days to switch Medicaid Health Plans, otherwise there is a rolling open enrollment based on the last digit of the individual's case number.",X,,X,X,,X,X,X,X,X,X,X,X,X,,,X,X,X,,,,,X,X,X,,"Ambulance and other emergency medical transportation, certified midwife services, chiropractic services, DME and supplies, emergency services, end stage renal disease services, health education, hearing and speech services, hearing aids (under 21 years old), medically necessary weight reduction services, parenting and birthing classes, podiatry services, prosthetics and orthotics, tobacco cessation treatment, speech, language, physical and occupational therapies, transplant services, transportation for medically necessary covered services, treatment for STDs, vision services",Yes,Yes,Yes,"NCQA, URAC",Health Services Advisory Group,X,X,X,,X,Aetna Better Health; Blue Cross Complete of Michigan; Harbor Health Plan; HAP Midwest Health Plan; McLaren Health Plan; Meridian Health Plan of Michigan; Molina Healthcare of Michigan; Priority Health Choice; Total Health Choice; UnitedHealthcare Community Plan; Upper Peninsula Health Plan,"Due to a policy change, Medicare Eligibles are excluded from Healthy Michigan Plan. In order to provide greater access and to support coordination of care for behavioral health services, the Michigan Department of Health and Human Services (MDHHS) has removed the 20-visit maximum limitation for outpatient behavioral services (psychotherapy services). The restriction is lifted for both Fee-for-Service and Medicaid Health Plan beneficiaries effective for dates of service on or after October 1, 2017.",MI
Healthy Kids Dental,Dental only (PAHP),Statewide,1915(b),04/01/2009 12:00:00 AM,09/30/2020 12:00:00 AM,,,,Mandatory,Mandatory,,,,,Voluntary,Mandatory,Other,,Does not apply because the State only contracts with one managed care entity.,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,No,No,No,,,,,,,,Healthy Kids Dental,MDHHS contracts for the administration of the Medicaid dental benefit called Healthy Kids Dental in all 83 counties. The contractor administers the Medicaid dental benefit to all Medicaid beneficiaries under age 21 in the participating counties. The dental services provided through the contractor mimic the dental services provided through the Fee-For-Service Medicaid program. Medicaid beneficiaries have access to dentists through the contractor's participating dental networks. Beneficiaries must see a dentist who participates with the Healthy Kids Dental contract.,MI
Specialty Prepaid Inpatient Health Plan,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),10/01/1998 12:00:00 AM,09/30/2019 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Voluntary,Voluntary,,Voluntary,Mandatory,Other,,No lock-in period.,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,"Assertive community treatment, assessments, assistive technology, behavior management review, child therapy, clubhouse, community living supports, crisis interventions, crisis residential, enhanced pharmacy, environmental modifications",No,No,No,,,,,,,,Lakeshore Regional Entity; Macomb County CMH Services; Mid-State Health Network; Northcare Network; Northern Michigan Regional Entity; Oakland County CMH Authority; Region 10; Southwest Michigan Behavioral Health; CMH Partnership of Southeast Michigan; Detroit Wayne Mental Health Authority,"7,760 beneficiaries received HCBS services as of 07/01/18.",MI
PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,11/01/2003 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Exempt,Exempt,N/A,,,X,X,X,X,,X,,,,X,X,X,,X,,X,,X,X,X,X,,,X,,X,,Transportation,No,No,No,,,,,,,,Care Resources; Community PACE; Genesys PACE; Great Lakes PACE; Huron Valley PACE; Life Circles; PACE of Southeast MI; PACE of Southwest MI; Senior Care Partners; Senior Community Care; Thome PACE,"Enrollment is voluntary and is not restricted to individuals who are Medicare beneficiaries and/or Medicaid recipients. The PACE organization receives a prospective monthly payment for each Medicare participant based on a a rate similar to the rate paid to Medicare Advantage, and a prospective montlhly payment for each Medicaid participant that is negotiated between the PACE organization and the State administering agency. The Medicaid capitation must be less than the amount that would have been paid under the State plan if the individuals were not enrolled in PACE. PACE organizations may charge a premium to individuals who do not have Medicaid eligibility. The PACE benefit package for all participants, regardless of the source of payment, must include all Medicaid-covered services, as specified in the State's approved Medicaid individual's overall health status.  While enrolled in a PACE program, the participant must receive all Medicare and Medicaid benefits soley through the PACE organization.",MI
Special Needs Basic Care (SNBC),Comprehensive MCO + MLTSS,Statewide,"1915(a),1945 Health Homes",01/01/2008 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Voluntary,Voluntary,30 days,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,X,,X,X,X,X,,Yes,Yes,No,,Michigan Peer Review Organization,,X,,,X,Health Partners; Hennepin Health; Medica; Prime West; South Country; U Care,,MN
Prepaid Medical Assistance Plan Plus (PMAP+),Comprehensive MCO + MLTSS,Statewide,"1915(b),1932(a),1945 Health Homes",07/01/1985 12:00:00 AM,06/30/2021 12:00:00 AM,,Mandatory,Mandatory,,Mandatory,,,,Voluntary,Mandatory,Mandatory,30 days,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,,Yes,Yes,No,,Michigan Peer Review Organization,,X,,X,X,Blue Plus; Health Partners; Hennepin Health; Itasca Medical Care; Prime West; South Country; U Care,,MN
Minnesota Senior Care Plus (MSC+),Comprehensive MCO + MLTSS,Statewide,"1915(b)/1915(c),1945 Health Homes",06/01/2005 12:00:00 AM,06/30/2021 12:00:00 AM,,,,Mandatory,,,Mandatory,,,Mandatory,Exempt,30 days,,,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,,Yes,Yes,No,,Michigan Peer Review Organization,,X,,X,X,Blue Plus; Health Partners; Itasca Medical Care; Medica; Prime West; South Country; U Care,,MN
Minnesota Senior Health Option (MSHO),Comprehensive MCO + MLTSS,Statewide,"1915(a)/1915(c),1945 Health Homes",03/01/1997 12:00:00 AM,12/31/2020 12:00:00 AM,,,,Voluntary,,,Voluntary,,,Voluntary,Exempt,30 days,,,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,,Yes,Yes,No,,Michigan Peer Review Organization,,X,,X,X,Blue Plus; Health Partners; Itasca Medical Care; Medica; Prime West; South Country; U Care,,MN
Mississippi Coordinated Access Network (MississippiCAN),Comprehensive MCO,Statewide,1932(a),01/01/2011 12:00:00 AM,,,Mandatory,,Mandatory,Mandatory,,,,Voluntary,Voluntary,Voluntary,Other,Conduent,"Members are allowed 30 days to choose an MCO or be autoassigned. After MCO assignment, members are allowed to change MCO during initial 90 days.",X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,,X,X,,,Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, JCAHO, URAC",The Carolinas Center for Medical Excellence,,,,X,X,Magnolia Health Plan; UnitedHealthcare of Mississippi Community Plan,"A third MCO was added to the MississippiCAN program on October 1, 2018: Molina Healthcare of Mississippi.",MS
MO HealthNet Managed Care/1915b,Comprehensive MCO,Statewide,1915(b),09/01/1995 12:00:00 AM,06/30/2020 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,,,Mandatory,Mandatory,Mandatory,Other,WIPRO Infocrossing,Pregnant Women have 7 days while the rest of the population has 15 days. Children in the care and custody of the State of Missouri are enrolled the same day.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,X,X,,,,,X,X,X,"Ambulatory surgical care, asthma education and in-home environmental assessments, comprehensive day rehabilitation, durable medical equipment, emergency, hearing, immunization, inpatient substance use disorders, outpatient substance use disorders, obesity, prenatal case management, podiatry, vision",Yes,Yes,Yes,NCQA,"Primaris Holdings, Inc.",X,X,X,X,,Home State Health Eastern; Home State Health Central; Home State Health Western; Home State Health Southwest; Missouri Care Eastern; Missouri Care Central; Missouri Care Western; Missouri Care Southwest; United Healthcare Eastern; United Healthcare Central; United Healthcare Western; United Healthcare Southwest,,MO
Non-Emergency Medical Transportation Program (NEMT),Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/01/2006 12:00:00 AM,,,Mandatory,,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Medicaid State Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,Logisticare Solutions,,MO
Passport to Health,Primary Care Case Management (PCCM),Statewide,1915(b),01/01/1994 12:00:00 AM,03/31/2019 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,,,,Mandatory,Mandatory,Mandatory,N/A,Conduent,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,Multiple Primary Care Providers,"Montana has four programs that operate under the authority of the 1915(b) waiver.  The Passport to Health program is the Primary Care Case Management (PCCM) program. Benefits covered include those that are covered by both the monthly PMPM and FFS benefits that could be delivered by a primary provider participating in the Passport to Health Program. The Team Care program is a sub-program of Passport which began in 2004.  The Health Improvement program, the EPCCM program, began in 2009 as an enhancement to Passport. The Tribal HIP program was created in April 2007 as a partnership between the Tribal, State and Federal government to address factors that contribute to health disparities in American Indians eligible for Medicaid residing on a reservation.  The Nurse First program is the nurse advice line that began in 2004.",MT
Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"68037, 68048, 68025, 68007, 68010, 68022, 68064, 68102, 68104, 68105, 68106, 68107, 68127, 68110, 68111, 68112, 68114, 68116, 68117, 68118, 68122, 68124, 68127, 68130, 68131, 68132, 68134, 68135, 68137, 68142, 68144, 68152, 68154, 68157, 68164, 68182, 68005, 68028, 68046, 68059, 68069, 68113, 68123, 68128, 68133, 68136, 68138, 68147, 68073, 68002, 68008, 68009, 68023, 68029, 68034, 68044, 68068",PACE,05/01/2013 12:00:00 AM,,,,,Voluntary,,,,,,Voluntary,Voluntary,N/A,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,No,No,No,,,,,,,,Immanuel Pathways,"Voluntary program in select zip codes throughout Cass, Dodge, Douglas, Sarpy, Saunders, and Washington Counties.",NE
Non-Emergency Transportation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/01/2003 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,"No, but accreditation considered in plan selection criteria",Any vetted accreditation that relates to plan’s transportation mission,Health Services Advisory Group,,,,,,Medical Transportation Management (MTM Nevada),,NV
Health Care Guidance Program (HCGP),Primary Care Case Management (PCCM),Statewide,1115(a) (Medicaid demonstration waivers),07/01/2014 12:00:00 AM,,06/30/2018 12:00:00 AM,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Exempt,Exempt,N/A,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,Yes,No,"No, but accreditation considered in plan selection criteria",NCQA,Health Services Advisory Group,X,,X,X,,,Contract ended 06/30/2018; no enrollees 07/01/2018.,NV
Dental Benefits Administrator,Dental only (PAHP),Sufficiently populated Urban Zip Codes in Washoe and Clark counties.,"1932(a),1937 Alt Benefit Plan",01/01/2018 12:00:00 AM,,,Mandatory,Mandatory,,Mandatory,,,,Voluntary,Voluntary,Exempt,30 days,DXC,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,Yes,Yes,"No, but accreditation considered in plan selection criteria",NCQA,Health Services Advisory Group,,,X,X,X,Liberty Dental Plan of Nevada,,NV
Mandatory Health Maintenance Program,Comprehensive MCO,Sufficiently populated Urban Zip Codes in Washoe and Clark counties.,1932(a),10/31/1988 12:00:00 AM,,06/30/2018 12:00:00 AM,Mandatory,Mandatory,,Mandatory,,,,Voluntary,Voluntary,Exempt,30 days,DXC,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,X,,X,X,,X,,X,,Yes,Yes,"No, but accreditation considered in plan selection criteria",NCQA,Health Services Advisory Group,,X,X,X,X,Health Plan of Nevada (HPN); Anthem Blue Cross Blue Shield of Nevada; Silver Summit Health Plan,,NV
New Hampshire Medicaid Care Management,Comprehensive MCO,Statewide,"1915(b),1932(a)",12/01/2013 12:00:00 AM,03/31/2020 12:00:00 AM,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,60 days,Maximus,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,X,,X,,,X,X,X,"Nurse midwife, non-nurse midwife, freestanding birth centers, podiatry, PT/OT/ST, ambulance, adult medical day care, DME, eyeglasses, full substance use disorder treatment",Yes,Yes,Yes,NCQA,Health Services Advisory Group,,,,,,New Hampshire Healthy Families; Well Sense Health Plan,Individuals in the New Hampshire Medicaid Care Management program can be enrolled under either a 1915(b) waiver or a 1932(a) federal operating authority.,NV
New Hampshire Health Protection Program Medicaid Care Management ABP,Comprehensive MCO,Statewide,"1932(a),1937 Alt Benefit Plan",08/01/2014 12:00:00 AM,,12/31/2018 12:00:00 AM,,Mandatory,,,,,,,Mandatory,Mandatory,60 days,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,X,,X,"Nurse midwife, non-nurse midwife, freestanding birth centers, podiatry, PT/OT/ST, ambulance, adult medical day care, DME, eyeglasses, chiropractic, full substance use disorder treatment",Yes,Yes,Yes,NCQA,Health Services Advisory Group,,,,,,New Hampshire Healthy Families; Well Sense Health Plan,,NV
NJFamilyCare,Comprehensive MCO + MLTSS,Statewide,"1115(a) (Medicaid demonstration waivers),1937 Alt Benefit Plan",09/01/1995 12:00:00 AM,06/30/2022 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Voluntary,Mandatory,10 days,Conduent,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,"Assistive tech, audiology, chiropractic, DME, hearing aid, immunization, MDC, medical supplies, optical appliances, optometrist, organ transplants, orthotics, rehab/sp hosp, outpatient rehab, non-routine podiatrist, post-acute care, preventive health, spec hosp, vision",Yes,Yes,Yes,NCQA,Island Peer Review Organization,X,,X,,,Aetna Better Health NJ; Amerigroup New Jersey Inc; Horizon NJ Health; UnitedHealthcare Community Plan; WellCare of New Jersey,"HCBS services are part of the MLTSS program which is available to qualified beneficiaries under NJFamilyCare.  All NJFamilyCare MCOs are statewide except WellCare, which is not available in Hunterdon County.",NJ
FIDE SNP,Comprehensive MCO + MLTSS,"Atlantic, Bergen, Burlington, Camden, Cumberland, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex, Union, and Warren counties.",1115(a) (Medicaid demonstration waivers),01/01/2012 12:00:00 AM,06/30/2022 12:00:00 AM,,,,,,,Voluntary,,,Exempt,Exempt,Other,,Enrollee may enroll or disenroll without cause once per quarter for the first three quarters of the year. Annual enrollment period rules apply thereafter.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,"Assistive tech, audiology, chiropractic, DME, hearing aid, immunization, MDC, medical supplies, optical appliances, optometrist, organ transplants, orthotics, rehab/sp hosp, outpatient rehab, non-routine podiatrist, post-acute care, preventive health, spec hosp, vision",Yes,Yes,No,,Island Peer Review Organization,X,,X,,,Amerivantage Dual Coordination (HMO SNP); Horizon NJ TotalCare (HMO SNP); UnitedHealthcare Dual Complete ONE&#x0D; (HMO SNP); WellCare Liberty (HMO SNP),Members may only enroll through Medicare or with the FIDE SNP plan directly.,NJ
Non-Emergency Medical Transportation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,07/01/2009 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Voluntary,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,Logisticare,,NJ
